127.0.0.1 - - [09/Sep/2016:12:32:43 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/l4.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 29507
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/l6.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 24284
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p27.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8258
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p28.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 7076
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p30.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/s1.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8652
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/p29.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 23300
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/ban1.jpg HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/s2.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/s3.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8579
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:48 +0530] "GET /shoppingcartfront/resources/images/img-sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:49 +0530] "GET /shoppingcartfront/resources/images/s4.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [09/Sep/2016:12:32:49 +0530] "GET /shoppingcartfront/resources/images/card.png/;jsessionid=CC87BAC821D016061DF84E20C28A0E99 HTTP/1.1" 200 8725
